UID,edad,sexo,neducativo,salario,sector
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
7655980-1-1,5.0,1.0,2.0,1300000.0,6.0
